id,nome,categoria,periodo,publico,custo,avaliacao,endereco,horario,imagem,resumo,card_img,descricao,dicas
1,Praia de Tambaú,Praia,manha|tarde|noite,casal|familia|amigos|sozinho,baixo,4.8,"Av. Almirante Tamandaré, Tambaú, João Pessoa – PB","",praia_tambau.jpg,"O coração litorâneo da capital. Reconhecida pelo mar calmo, orla movimentada e feirinha de artesanato.",foto-orla.webp,"A Praia de Tambaú é uma das mais famosas de João Pessoa, conhecida por suas águas mornas e calmas. Com uma orla bem estruturada, repleta de quiosques e restaurantes, é o ponto de encontro dos moradores e turistas.","Vá cedo para evitar o sol forte|Experimente a tapioca na orla|Ótima para famílias com crianças"
2,Centro cultural e Igreja de São Francisco,Histórico,manha|tarde,casal|familia|amigos|sozinho,baixo,4.7,"Praça São Francisco, Centro, João Pessoa – PB","Ter–Dom: 8h–12h e 14h–17h",igreja_sao_francisco.jpg,"Importante conjunto histórico e religioso do século XVII, com igreja dourada, claustros com azulejos portugueses e museu de arte sacra",centro-sfrancisco-externo.jpg,"O Convento e Igreja de São Francisco, no Centro Histórico de João Pessoa, é considerado um dos mais belos conjuntos arquitetônicos barrocos do Brasil. A fachada majestosa e os famosos azulejos portugueses do século XVIII encantam visitantes de todo o mundo.","Vista roupas adequadas|Há guias turísticos no local|Verifique se há Missa com canto gregoriano (canto uníssono em latim)"
3,Parque Solon de Lucena,Natural,manha|tarde,familia|amigos|sozinho,baixo,4.5,"Lagoa, Centro, João Pessoa – PB","",parque_solon.jpg,"Tradicional área de lazer no centro de João Pessoa, conhecida pela lagoa central, áreas verdes e importância histórica para a cidade.",parque-lagoa.webp,"O Parque Solon de Lucena, popularmente conhecido como Parque da Lagoa, é um dos cartões-postais de João Pessoa. Com seus imponentes coqueiros e o espelho d'água central, é um refúgio de tranquilidade no coração da cidade.","Ideal para caminhadas matinais|Ciclovia disponível|Leve repelente ao entardecer"
4,Praia de Cabo Branco,Praia,manha|tarde,casal|familia|amigos|sozinho,baixo,4.7,"Av. Cabo Branco, Cabo Branco, João Pessoa – PB","",praia_cabo_branco.jpg,"Conhecida por suas belas paisagens e pelo famoso Farol do Cabo Branco, é um dos cartões-postais mais visitados de João Pessoa.",praia-cabo-branco.jpg,"A Praia de Cabo Branco é uma das áreas mais famosas de João Pessoa, combinando natureza, áreas urbanizadas e importantes pontos turísticos. A região abriga o Farol do Cabo Branco, possui longa faixa de areia, ciclovia e espaços destinados à prática esportiva.","Excelente para caminhadas ao amanhecer|Visite o Farol do Cabo Branco|A ciclovia da orla é ideal para passeios de bicicleta"
5,Piscinas de Picãozinho,Natural,manha|tarde,casal|familia,medio,4.7,"Praia de Tambaú, Tambaú, João Pessoa – PB","Conforme a maré",piscinas_picaozinho.jpg,"Formadas durante a maré baixa, elas encantam visitantes com águas claras, recifes e passeios de catamarã saindo da Praia de Tambaú.",piscinas-picaozinho.webp,"As Piscinas Naturais de Picãozinho formam-se sobre recifes de corais durante a maré baixa, criando piscinas de águas claras e calmas. O acesso é feito por catamarãs que partem da Praia de Tambaú.","Consulte a tábua de marés antes de ir|Leve máscara de mergulho|Observe os peixes entre os recifes"
6,Praia do Bessa,Praia,manha|tarde,casal|familia|amigos|sozinho,baixo,4.3,"Av. Governador Argemiro de Figueiredo, Bessa, João Pessoa – PB","",praia_bessa.webp,"Praia mais tranquila, ideal para quem quer ambientes para passeios sossegados em família.",praia-do-bessa.jpg,"A Praia do Bessa é conhecida pelo ambiente tranquilo e familiar. Possui extensa faixa de areia, águas mornas e áreas menos movimentadas em comparação a outras praias urbanas da cidade.","Ideal para quem busca menos movimento|Ótima para caminhadas|Procure as piscinas naturais na maré baixa"
7,Mercado de Artesanato Paraibano,Cultural,manha|tarde,casal|familia|amigos|sozinho,baixo,4.6,"Av. Rui Carneiro, Tambaú, João Pessoa – PB","Seg.–Sáb. 9h–19h; Dom. 9h–18h",mercado_artesanato.webp,"Espaço tradicional de João Pessoa que reúne artesanato regional, produtos culturais e itens típicos da cultura paraibana.",map.jpg,"O Mercado de Artesanato Paraibano reúne produtos típicos da cultura paraibana e nordestina, incluindo rendas, esculturas, peças em barro, redes e artigos produzidos por artesãos locais.","Ótimo para comprar lembranças típicas|Conheça os produtos gastronômicos regionais|Leve dinheiro para pequenas compras"
8,Estação Cabo Branco,Cultural,manha|tarde,familia|amigos|sozinho,baixo,4.3,"Av. João Cirilo da Silva, Altiplano Cabo Branco, João Pessoa – PB","Seg.–Sex. 9h–18h; Sáb. e Dom. 10h–18h",estacao_cabo_branco.webp,"Centro cultural assinado por Niemeyer com exposições, mirante e um dos mais marcantes prédios contemporâneos da Paraíba.",estacao-cabo-branco.jpg,"A Estação Cabo Branco é um importante centro cultural projetado por Oscar Niemeyer. O espaço reúne exposições, eventos culturais, auditórios e áreas de contemplação com vista para o litoral.","Vale a visita pela arquitetura|Aproveite o mirante|As áreas externas rendem ótimas fotografias"
9,Hotel Globo,Histórico,tarde|noite,casal|familia|sozinho,baixo,4.5,"Praça São Frei Pedro Gonçalves, Centro, João Pessoa – PB","Ter.–Dom. (conforme programação)",hotel_globo.jpg,"Histórico edifício do centro de João Pessoa, conhecido pela arquitetura preservada e pela vista do pôr do sol sobre o rio Sanhauá.",hotel-globo.jpg,"O Hotel Globo é um edifício histórico transformado em espaço cultural. Destaca-se pelo terraço com vista panorâmica para o rio Sanhauá e pelo pôr do sol observado do centro histórico.","Chegue perto do pôr do sol|Visite as exposições culturais|Fotografe a vista para o rio Sanhauá"
10,Mosteiro de São Bento,Histórico,manha|tarde,casal|familia|sozinho,baixo,4.9,"Praça Dom Ulrico, Centro, João Pessoa – PB","Conforme atividades religiosas",mosteiro_sao_bento.jpg,"Tradicional monumento religioso do centro histórico, conhecido pela arquitetura colonial e pela importância cultural e espiritual em João Pessoa.",mosteiro-de-sao-bento.webp,"O Mosteiro de São Bento é um importante monumento religioso e histórico da capital paraibana. Destaca-se pela arquitetura colonial, altares ornamentados e tradição beneditina.","Vista-se respeitosamente|Observe os detalhes da arte sacra|Mantenha o silêncio durante a visita"
